epoch,step,loss,t_cap,u_cap,align,backend,finite
0,0,10.552203178405762,99,33,3267,ctc,1
0,1,8.525588989257812,137,29,3973,ctc,1
0,2,12.943156242370605,145,33,4785,ctc,1
0,3,3.8128955364227295,116,27,3132,ctc,1
